City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,saint-pierre,-21.3393,55.4781,23.82,64,40,4.63,RE,1727323710
119,kayangel,8.0823,134.7173,28.99,75,100,4.07,PW,1727323710
120,puerto ayora,-0.7393,-90.3518,18.64,97,94,3.44,EC,1727323711
121,polyarnyy,69.1989,33.4478,11.43,87,86,8.92,RU,1727323711
122,hamilton,39.1834,-84.5333,19.93,88,0,2.06,US,1727323711
123,roslavl',53.9528,32.8639,14.38,47,100,4.41,RU,1727323711
124,hilo,19.7297,-155.09,25.85,86,100,2.24,US,1727323711
125,tura,25.5198,90.2201,22.59,99,100,1.46,IN,1727323712
126,badger,64.8,-147.5333,6.95,87,100,2.57,US,1727323712
127,marsh harbour,26.5412,-77.0636,28.49,77,99,8.65,BS,1727323712
128,pandan,14.0453,124.1694,29.78,67,100,1.93,PH,1727323712
129,zahedan,29.4963,60.8629,22.95,21,5,2.06,IR,1727323712
130,dudinka,69.4058,86.1778,2.42,82,100,2.97,RU,1727323709
131,ornskoldsvik,63.2909,18.7153,9.53,87,100,5.14,SE,1727323713
132,nuku'alofa,-21.1333,-175.2,23.19,78,40,3.6,TO,1727323713
133,aral,40.5156,81.2636,26.88,20,100,2.17,CN,1727323713
134,dahab,28.501,34.5134,28.05,57,0,5.13,EG,1727323713
135,naze,28.3667,129.4833,26.98,80,22,9.2,JP,1727323713
136,pisco,-13.7,-76.2167,17.03,82,60,1.54,PE,1727323445
137,codrington,-38.2667,141.9667,12.37,54,61,5.83,AU,1727323714
138,talara,-4.5772,-81.2719,17.16,88,5,4.15,PE,1727323714
139,mermoz boabab,14.7065,-17.4758,26.33,86,95,8.07,SN,1727323714
140,hermanus,-34.4187,19.2345,9.89,87,0,3.47,ZA,1727323714
141,chekmagush,55.1319,54.6556,8.59,57,45,2.23,RU,1727323714
142,avarua,-21.2078,-159.775,23.03,78,100,3.09,CK,1727323715
143,yorkton,51.2167,-102.4677,23.05,33,4,7.18,CA,1727323715
144,east london,-33.0153,27.9116,18.52,94,100,3.09,ZA,1727323715
145,ayame,5.6083,-3.1563,22.6,97,100,1.16,CI,1727323715
146,princeville,45.7668,-61.2985,11.54,92,75,2.06,CA,1727323715
147,kone,-21.0595,164.8658,29.67,38,15,2.56,NC,1727323716
148,merrill,45.1805,-89.6835,15.02,96,4,1.13,US,1727323716
149,kristiansund,63.1115,7.732,7.36,81,75,4.63,NO,1727323716
150,padang,-0.9492,100.3543,29.54,72,84,1.53,ID,1727323716
151,broken hill,-31.95,141.4333,15.84,19,0,10.99,AU,1727323716
152,masuda,34.6667,131.85,27.37,69,41,2.92,JP,1727323716
153,yeppoon,-23.1333,150.7333,23.3,67,56,6.53,AU,1727323717
154,tsiombe,-25.3,45.4833,23.87,74,47,0.77,MG,1727323717
